Concept,Viewpoint,Subcategory,Category,Description,schema,ID,URL
Decision Support Systems,Technology Viewpoint,Community,Technological Concepts and Approaches," A coordinated assemblage of people, devices or other resources that analyzes, typically, business data and presents it so that users can make business decisions more easily. (Source: WIC)",Item,126,https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus
Risk Assessment Models,Engineering Viewpoint,Framework,Technological Concepts and Approaches,"Risk assessment models are frameworks designed to identify, evaluate, and manage risks within organizations. One prominent model is the ISO 31000 standard, which offers guidelines and principles applicable across various industries and organizational sizes. Emphasizing risk management as a strategic decision-making process, this standard promotes a systematic approach to recognizing and mitigating potential risks. By providing structured guidance, ISO 31000 assists organizations in effectively navigating uncertainties and safeguarding against adverse outcomes.",Item,127,https://books.google.nl/books?hl=en&lr=&id=kj10e4vlHkYC&oi=fnd&pg=PR5&dq=what+is+a+risk+assessment+model&ots=hDZ5qkeLGi&sig=1rKlr6N_Yv7Ki4QFc9XtylWa8lQ&redir_esc=y#v=onepage&q=what%20is%20a%20risk%20assessment%20model&f=false
Risk management processes,Technology Viewpoint,Process,Technological Concepts and Approaches,"Risk management processes involve several key steps outlined by the ISO 31000 standard, including risk identification, analysis, evaluation, and treatment. Firstly, risks are identified by assessing potential obstacles to achieving organizational objectives. Next, the sources and causes of these risks are analyzed, considering probabilities and consequences in the context of existing controls. Subsequently, risk evaluation involves comparing analysis results with predefined criteria to determine if the current level of risk is acceptable. Finally, risk treatment strategies are implemented to modify the magnitude and likelihood of consequences, aiming for a net increase in benefit. Various models, such as the risk matrix, specific operations risk assessment (SORA), System-Theoretic Accident Model and Processes (STAMP), and Bow Tie, offer unique approaches to managing risks effectively.",Item,6,https://www.iso.org/obp/ui/#iso:std:iso:31000:ed-2:v1:en
Ontologies,Technology Viewpoint,System,Technological Concepts and Approaches,"Ontologies refer to a structured set of concepts and categories within a specific subject area or domain, illustrating their properties and the relationships between them. These conceptual frameworks are designed to represent knowledge in a formal and organized manner, facilitating understanding, communication, and reasoning within a particular domain. Ontologies are commonly used in various fields such as computer science, information science, and philosophy to capture and formalize domain-specific knowledge, enabling effective data integration, knowledge sharing, and semantic interoperability across different systems and applications.",,,https://languages.oup.com/google-dictionary-en
Taxonomic Classifications,Technology Viewpoint,System,Technological Concepts and Approaches,Involving or concerned with the identification and classification of the units into which languages are analysed.,,,https://doi.org/10.1134/S2079086413010088
Simulation Modelling,Technology Viewpoint,Tool,Digital Twin Terminology,"A simulation is a  representation of a problem, situation in mathematical terms, especially using a computer. Simulation modeling involves creating and analyzing a digital prototype of a physical model to predict its real-world performance, aiding designers and engineers in understanding potential failure modes, load capacities, fluid flow, and heat transfer patterns. Utilized across various industries, simulation models represent physical products or systems visually, graphically, or numerically, in steady-state or dynamic form. They approximate real-life behavior efficiently, encompassing activities like virtual commissioning and prototyping. While sophisticated simulation models and digital twins (DTs) may overlap, the crucial distinction lies in DTs' inherent link to the lifecycle of the physical counterpart, as asserted by experts.",Item,2,"https://doi.org/10.1109/ACCESS.2019.2950507, https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus, https://en.wikipedia.org/wiki/Simulation_modeling"
Digital Twin,Engineering Viewpoint,Tool,Digital Twin Terminology,"A dynamic digital representation of a real-world object, such as a physical asset, system, or process. It mirrors the object's states and behaviors throughout its lifecycle, allowing for monitoring, analysis, and simulation of current and future states. Digital twins utilize data integration, artificial intelligence, and machine learning to enable continuous two-way communication between the virtual representation and its physical counterpart. They provide insights through the analysis of data streams from sensors and may incorporate process-based models or machine learning algorithms to offer operational decision support and understand system evolution.  The main purpose of a DT is to act as the single source of information for its real-world counterpart.",Item,3,"https://doi.org/10.1016/j.agsy.2020.103046,       https://doi.org/10.12688/f1000research.137262.1,         https://doi.org/10.1016/j.envsoft.2021.105274"
Digital Twin,Enterprise (Science) Viewpoint,Tool,Digital Twin Terminology,"Digital twinning empowers teams to explore and conceptualize ideas beyond physical limitations, fostering creativity despite limited immediate impact. These visualizations hold promise in advancing sustainable ocean development by enabling stakeholders to engage with virtual representations of ocean ecosystems and human activities, promoting immersive exploration and understanding.",Item,4,https://ihr.iho.int/articles/digital-twins-of-the-ocean-can-foster-a-sustainable-blue-economy-in-a-protected-marine-environment/
Imaginary Digital Twin,Engineering Viewpoint,Tool,Digital Twin Terminology,A conceptual entity that represent and simulate reference objects which have not yet been physically instantiated in the real world.,Item,130,https://doi.org/10.1016/j.agsy.2020.103046
Monitoring Digital Twins,Engineering Viewpoint,Tool,Digital Twin Terminology,"A digital representations mirroring the real-time state and behavior of physical objects, capturing their trajectory and evolving conditions.",Item,131,https://doi.org/10.1016/j.agsy.2020.103046
Predictive Digital Twins,Engineering Viewpoint,Tool,Digital Twin Terminology,"Digital forecasts of the future state and behavior of physical objects are generated through predictive analytics, drawing on (near) real-time data from their physical counterparts",subcategory,132,https://doi.org/10.1016/j.agsy.2020.103046
Prescriptive Digital Twins,Engineering Viewpoint,Tool,Digital Twin Terminology,"Digital projections of the future state and behavior of physical objects are derived through predictive analytics, utilizing (near) real-time data from their physical counterparts.",Item,133,https://doi.org/10.1016/j.agsy.2020.103046
Autonomous Digital Twins,Engineering Viewpoint,Tool,Digital Twin Terminology,"They function autonomously, exerting complete control over the behavior of real-world objects without the need for human intervention, whether on-site or remote",Item,134,https://doi.org/10.1016/j.agsy.2020.103046
Recollection Digital Twins,Engineering Viewpoint,Tool,Digital Twin Terminology,"Retain the complete historical record of physical objects, even after their physical existence ends.",Item,135,https://doi.org/10.1016/j.agsy.2020.103046
Digital Twin Maturity,Engineering Viewpoint,Evaluation,Digital Twin Terminology,"Digital twin maturity refers to the evolution and advancement of a digital twin through various stages of development. It begins with the collection of real-world data using sensors, visualizations, and models. Subsequently, an analysis is conducted, involving physics modeling and analytics, leading to the construction of simulation and operational twins. Prediction techniques, such as machine learning and long-term forecasting, are then integrated. Following this, optimizations are implemented, including the development of twins with business models. Ultimately, the digital twin reaches a high level of maturity when it achieves autonomy, enabling independent management and decision-making capabilities.",subcategory,136, https://doi.org/10.12688/f1000research.137262.1
Digital Model,Technology Viewpoint,Tool,Digital Twin Terminology,Manual flow of information between virtual and real world,Item,138, https://doi.org/10.12688/f1000research.137262.1
Digital Generator,Technology Viewpoint,Tool,Digital Twin Terminology,"Automated flow of info from virtual to real world, manual flow of info going back",subcategory,139, https://doi.org/10.12688/f1000research.137262.1
Digital Shadow,Technology Viewpoint,Tool,Digital Twin Terminology,"Automated flow of info from real to virutal world, manual flow of info going back",Item,140, https://doi.org/10.12688/f1000research.137262.1
Digital Matching,Technology Viewpoint,Tool,Digital Twin Terminology,"Physical asset matched to closest virtual representation, or vice versa. Automated flow of data / information between the two.",Item,141, https://doi.org/10.12688/f1000research.137262.1
Feature-based digital twin framework,Engineering Viewpoint,Framework,Digital Twin Components,"The feature-based digital twin framework operates on three core principles: first, that all digital twins comprise a specific set of features; second, that these features enable comparison between different digital twin instances; and third, that the features can be linked via a data link feature to streamline the construction of future digital twins. Following the Grounded Theory approach, we introduce a straightforward yet innovative method for comparing and categorizing digital twin implementations.",Item,144,https://doi.org/10.1109/ACCESS.2019.2950507
Feature-based digital twin analysis,Computational Viewpoint,Evaluation,Digital Twin Components,"The feature-based digital twin analysis (FEDA) method offers a systematic approach for comparing and categorizing digital twin (DT) implementations. It involves two primary phases: first, analyzing each DT to determine the implementation level of its features as numerical values, and second, calculating a holistic score (Hs) for the DT based on the assigned grades for each feature. The holistic score is computed using a weighted average formula that considers the importance of each feature and the scale of the scores. FEDA produces two main outputs: a feature profile for each DT and an execution level represented by the holistic score. To apply FEDA, follow five steps: identify DT features, define grading methods, assign grades, specify weight factors for features, and calculate the holistic score. This method allows for user-specific grading and can be refined for universal application.",Item,145,https://doi.org/10.1109/ACCESS.2019.2950507
Digital Twin Feature,Computational Viewpoint,Component,Digital Twin Components,"A digital twin feature (DTF) serves as a generic term encompassing various technical functionalities within digital twins. It functions as an additional abstraction layer, aiding in the translation of functional requirements into technical implementations. Throughout this study, we explore the implications and offer examples of DTFs. Some parallels can be drawn with the digital twin characteristics outlined by El Saddik.",subcategory,146,https://doi.org/10.1109/ACCESS.2019.2950507
Digital Twin Instance,Computational Viewpoint,Component,Digital Twin Components,"A digital twin instance (DTI) is the digital counterpart of a specific entity in the real world, which could include physical products, humans, cities, processes, or events. It serves as a virtual representation or surrogate that enhances the understanding and management of its real-world counterpart. A DTI acts as a single interface for accessing data related to the corresponding real-world object and must be consistently accessible over the Internet to ensure continuous data flow. Each DTI is assigned a unique identifier, enabling connectivity from any location globally. This definition aligns with the definition provided in reference [12].",Item,147,https://doi.org/10.1109/ACCESS.2019.2950507
Digital Twin Class,Computational Viewpoint,Component,Digital Twin Components,"A digital twin class, akin to how object-oriented programming employs classes to create object instances. This concept, previously introduced by Hribernik et al. [14], aligns with the notion of digital twin prototypes outlined by [12], albeit with a focus on the instantiation of digital twin instances rather than the developmental phases of new product iterations emphasized by digital twin prototypes.",Item,148,https://doi.org/10.1109/ACCESS.2019.2950507
Digital Twin Block,Computational Viewpoint,Component,Digital Twin Components,"A digital twin block (DTB) serves as a sub-system within a digital twin instance (DTI). Essentially, it's an autonomous software entity capable of interconnection with other DTBs to constitute a complete DTI. The concept of building blocks for digital twins was advocated by experts. Boschert et al. characterized digital twins as assemblies of specific digital artifacts, aligning with the notion of DTBs as fundamental components of DTIs.",category,149,https://doi.org/10.1109/ACCESS.2019.2950507
Network of Digital Twins,Computational Viewpoint,Component,Digital Twin Components,"This entails utilizing digital twin instances (DTIs) as nodes within the network. Since DTIs are consistently accessible and offer links to digital twin blocks (DTBs), this network provides a connection to real-world objects at any given time. However, it also presents challenges typical of the Internet of Things (IoT), such as limited communication capabilities of physical products and the proprietary nature of their data systems. This concept has been previously discussed in literature [41].",Item,150,https://doi.org/10.1109/ACCESS.2019.2950507
Physical twin,Computational Viewpoint,Component,Digital Twin Components,"A Physical Twin is a relative term that describes the real-world physical System-of-Systems or product upon which is replicated by a virtual Digital Twin. This choice of words indicates that the real-world counterpart is parallel to the DT, not a part of it.The current study follows this view. Despite being separate from the actual DT, the physical product is such an important topic that it is clearly entitled to have a presence among the features of DT.",Item,151,"https://doi.org/10.1109/ACCESS.2019.2950507, https://pivotpt.com/faq/what-is-digital-twin.html "
Data link,Computational Viewpoint,Component,Digital Twin Components,"A data link serves as a bridge between physical entities and their digital counterparts within a digital twin framework. It acts as a central hub for organizing and managing all information associated with the physical twin. The primary function of a data link is to interconnect individual digital twin features (DTFs) and facilitate communication among them. By linking digital things to each other, the data link enables the transformation from a grid-type communication structure to a star-form communication pattern. This transition is achieved by introducing a product agent into the network, which orchestrates the flow of information. The concept of transitioning from a grid network to a star network with an intermediary agent has been previously applied in logistics.",Item,152,https://doi.org/10.1109/ACCESS.2019.2950507
Coupling,Computational Viewpoint,Component,Digital Twin Components,"The coupling represents the vital connection between a physical product and its digital twin (DT). It serves as a two-way interface, facilitating the exchange of data between the physical product and the DT. Through this coupling, the physical twin can transmit data to the DT, and conversely, the DT may exert control over the physical product as needed. This bidirectional gateway is made possible by an identifier, enabling seamless communication and interaction between the physical and digital realms.",Item,153,https://doi.org/10.1109/ACCESS.2019.2950507
Identifier,Computational Viewpoint,Component,Digital Twin Components,"The identifier of a digital twin (DT) is classified into two primary categories: physical identifier and digital identifier. Physical identifiers serve as links between physical and digital spaces, enabling local access to the DT from the physical environment. These identifiers establish a gateway between physical products and their respective DTs, facilitating seamless interaction between the two realms. In contrast, digital identifiers are designed to connect the DT to a network, enabling access from any part of the DT network, ideally the Internet. A digital identifier must be unique at a sufficient level, ideally globally, and enable universal access to the DT. The most widely used option for digital identifiers is the uniform resource identifier (URI), which encompasses common URL addresses.",Item,154,https://doi.org/10.1109/ACCESS.2019.2950507
Cybersecurity,Computational Viewpoint,Component,Digital Twin Components,"Cybersecurity is a specialized field within the broader realm of security, primarily concerned with safeguarding highly interconnected information systems, commonly referred to as cyberspace. Unlike traditional computer security, cybersecurity specifically addresses the unique challenges arising from the complex and interconnected nature of modern digital environments.",Item,155,https://doi.org/10.1109/ACCESS.2019.2950507
Data storage,Computational Viewpoint,Component,Digital Twin Components,"Data storage in digital twins (DTs) encompasses various methods and locations, tailored to accommodate different volumes of data. For smaller data volumes, diverse approaches are employed, whereas larger data volumes are typically stored in specialized databases for efficient access. These databases often utilize block-based, file-based, or object-based formats to organize information systematically. Additionally, higher-level data model technologies, such as SQL and NoSQL stores, play a crucial role in shaping data utilization. Structured Query Language (SQL) has a historical context preceding NoSQL, evolving from hierarchical to relational database management systems. NoSQL emerged as an alternative to address the demands for faster and more flexible handling of large datasets, particularly evident in modern e-commerce applications. While SQL databases excel in structured data retrieval, NoSQL offers scalability and flexibility advantages, particularly in horizontal scaling. Companies frequently integrate both SQL and NoSQL databases within a single application, leveraging their respective strengths based on specific requirements and goals.",Item,156,https://doi.org/10.1109/ACCESS.2019.2950507
Analysis functionality (as a component of DT),Computational Viewpoint,Component,Digital Twin Components,"Analysis functionality in a digital twin (DT) enables the utilization of available data about a real-world object for various analytical purposes. This data can originate from monitoring the physical product or from simulations. Analyses, including correlation or sensitivity analyses, are conducted either by the user or by the artificial intelligence component of the DT, facilitating informed decision-making processes.",Item,157,https://doi.org/10.1109/ACCESS.2019.2950507
Artificial Intelligence (as a component of DT),Computational Viewpoint,Component,Digital Twin Components,"AI, or artificial intelligence, refers to the aspect of a digital twin (DT) that autonomously makes decisions based on data and analyses. Unlike machine learning, which processes data for AI or users, AI in a DT is specifically utilized for decision-making tasks, enabling the DT to operate independently, similar to an autonomous vehicle.",Item,158,https://doi.org/10.1109/ACCESS.2019.2950507
Computation,Computational Viewpoint,Component,Digital Twin Components,"Computation in the context of digital twins involves solving mathematical tasks to generate data. It can be classified as either local, relying on edge computing, or global, performed remotely. The choice between local and global computation depends on the time criticality of different processes. Global computation hubs offer ample resources for data processing, while localized computing ensures low latency, particularly in control loops.",Item,159,https://doi.org/10.1109/ACCESS.2019.2950507
FAIR Principles,Information Viewpoint,Fair Standard,Data and Information Management,"The FAIR Data Principles delineate the essential attributes of data objects to ensure their usability across human and machine applications, including digital twins. These principles encompass four key aspects: findability, accessibility, interoperability, and reusability. Findability necessitates that data be readily discoverable through open catalogs or repositories. Accessibility entails that data can be easily accessed as described in associated metadata or catalogs. Interoperability ensures that data can be seamlessly integrated and used alongside other data sources. Lastly, reusability underscores the importance of structuring data in a manner that allows it to be collected once and utilized multiple times for various purposes, maximizing its value and utility. By adhering to these principles, data becomes more accessible, discoverable, and usable, fostering efficient data sharing, integration, and analysis across diverse applications and domains.",Item,162,https://doi.org/10.58440/ihr-29-a04
Findability,Information Viewpoint,Fair Standard,Data and Information Management,"Findability is a characteristic of data that ensures it is easily located when searched for, such as by publishing the data in open catalogues.",Item,163,https://doi.org/10.58440/ihr-29-a04
Accessibility,Information Viewpoint,Fair Standard,Data and Information Management,Accessibility refers to the ease with which data can be accessed and retrieved as should be described in the catalogue when looked up.,Item,164,https://doi.org/10.58440/ihr-29-a04
Interoperability,Information Viewpoint,Fair Standard,Data and Information Management,"Interoperability is the ability of data to be used in conjunction with other data sources, enhancing its utility across different systems.",Item,165,https://doi.org/10.58440/ihr-29-a04
Reusability,Information Viewpoint,Fair Standard,Data and Information Management,Reusability is about ensuring that data needs only be collected once but can be used multiple times for a variety of purposes.,Item,166,https://doi.org/10.58440/ihr-29-a04
TRUST data principles,Information Viewpoint,Trust Standard,Data and Information Management,"TRUST data principles and their relevance to data within Digital twins (Lin et al., 2020). Transparency: Terms of use, time frames, additional features or services (e.g. sensitive data); Responsibility: Adhering to community's metadata and curation standards, services (portals, download, processing), IP issues; User focus: Metadata scheme, data file formats, controlled vocabularies, ontologoies, and other semantics, data metrics, community catalogues, future needs; Sustainability: risk mitigation, business continuity, disaster recovery, fudning, governance to assure FAIR.",Item,168,https://doi.org/10.58440/ihr-29-a04
data principle: Transparency,Information Viewpoint,Trust Standard,Data and Information Management,"Transparency in digital twins involves clearly defining the terms of use, time frames, and any additional features or services associated with the data, such as provisions for handling sensitive data. This ensures that all data use and its conditions are openly disclosed and understood by users.",category,169,https://doi.org/10.58440/ihr-29-a04
data principle: Responsibility,Information Viewpoint,Trust Standard,Data and Information Management,"Adhering to community's metadata and curation standards, services (portals, download, processing), IP issues",Item,170,https://doi.org/10.58440/ihr-29-a04
data principle: User focus,Information Viewpoint,Trust Standard,Data and Information Management,"Metadata scheme, data file formats, controlled vocabularies, ontologoies, and other semantics, data metrics, community catalogues, future needs; ",Item,171,https://doi.org/10.58440/ihr-29-a04
data principle: Sustainability in DT,Information Viewpoint,Trust Standard,Data and Information Management,"This addresses the need for risk mitigation, business continuity, disaster recovery, secure funding, and proper governance to assure adherence to FAIR (Findable, Accessible, Interoperable, and Reusable) principles. This component ensures the long-term viability and reliability of digital twin environments.",Item,172,https://doi.org/10.58440/ihr-29-a04
Data Products/Datasets,Information Viewpoint,Collection,Data and Information Management,"A dataset refers to an organized collection of data points or measurements gathered over time, typically at regular intervals. These measurements may pertain to various phenomena of interest and are often arranged in a time series format, representing sequential observations. Within a dataset, different types of series can be identified: dependent series, which are the primary focus for forecasting; predictor series, used to explain or predict the behavior of dependent series; event series, accounting for predictable recurring incidents; and intervention series, addressing one-time past occurrences. The intervals between measurements can encompass any unit of time, but consistency across all measurements is essential.",Item,174,https://data.europa.eu/en
Time Series Data,Information Viewpoint,Collection,Data and Information Management,"Time series data refers to an ordered collection of measurements obtained at regular intervals, such as daily stock prices or weekly sales figures. These measurements can encompass a wide range of subjects and are typically categorized into different types of series: dependent, which are the primary focus for forecasting; predictor, aiding in explaining or predicting the behavior of dependent series; event, used to anticipate predictable recurring incidents like sales promotions; and intervention, addressing one-time past occurrences such as power outages. The intervals between measurements can be of any time unit, but consistency across all measurements is crucial. Additionally, intervals without measurements are designated as missing values, determining the historical span of the data based on the number of intervals with available measurements.",Item,175,https://www.ibm.com/docs/sl/spss-modeler/saas?topic=models-time-series-data
Geospatial Data,Information Viewpoint,Collection,Data and Information Management,"Geospatial data refers to time-based information associated with specific Earth locations, offering insights into variable relationships and revealing patterns. It encompasses details about objects, events, or features situated on or near the Earth's surface. Typically, geospatial data combines location coordinates, attribute characteristics, and temporal information, portraying both static (e.g., equipment location, earthquake events) and dynamic (e.g., moving vehicles, disease spread) aspects. Geospatial information systems (GIS) facilitate the visual mapping of such data, enabling users to overlay diverse layers of information for analysis and interpretation, as seen in examples like hurricane maps juxtaposed with lightning strike potential areas.",Item,176,https://www.ibm.com/topics/geospatial-data
Genomic Data,Information Viewpoint,Collection,Data and Information Management,"Genomic data is data related to the structure and function of an organism's genome. The genome is all the cellular data an organism needs to grow and function. Genomic data includes information like the sequence of molecules in an organism’s genes. It also includes the function of each gene, the regulatory elements that control gene expression, and the interactions between different genes and proteins. A global network of biologists, geneticists, and data scientists collect genomic data. This network is expected to create many exabytes (EB) of genomic data in the next decade.",category,177,"https://aws.amazon.com/what-is/genomic-data/#:~:text=Genomic%20data%20is%20data%20related,molecules%20in%20an%20organism's%20genes."
Metadata / Annotation,Information Viewpoint,Component,Data and Information Management,"Metadata is data that provides information about other data. In the context of geographic information systems (GIS), geographic metadata documents the attributes of geographic data, akin to a nutrition label for a food product. It answers questions about data development, collection, processing, attributes definition, formats, and accessibility. The core components of a metadata record include metadata record information, identification information, constraints information, data quality information, maintenance information, spatial representation, reference system information, content information, symbology information, distribution information, metadata extension information, and application schema information. FGDC member agencies are actively exploring ISO metadata implementation.",,,www.fgdc.gov/metadata 
Data Standards,Information Viewpoint,Standard,Data and Information Management,"Data standards are foundational components essential for the seamless flow of information within national health information infrastructures. By establishing common standards, clinical and patient safety systems can share an integrated information framework, enabling data collection and reuse for various purposes efficiently. These standards also facilitate the assimilation of new knowledge into decision support tools and refinements to the care process. In the healthcare context, data standards encompass methods, protocols, terminologies, and specifications for collecting, exchanging, storing, and retrieving information associated with various healthcare applications. This includes medical records, medications, radiological images, payment and reimbursement data, medical devices, and administrative processes. Standardizing healthcare data involves defining data elements, establishing interchange formats, specifying terminologies, and implementing knowledge representation methods. At its core, data standards involve standardizing data elements, determining how to represent collected data, and encoding data for transmission, fostering interoperability and consistency across healthcare systems.",,, https://www.ncbi.nlm.nih.gov/books/NBK216088/
Data Quality,Information Viewpoint,Evaluation,Data and Information Management,"Data quality refers to the extent to which a dataset meets predefined criteria for accuracy, completeness, validity, consistency, uniqueness, timeliness, and fitness for purpose. It plays a vital role in all data governance initiatives within an organization. Data quality standards ensure that companies can make informed, data-driven decisions to achieve their business objectives. Failure to address data issues such as duplicates, missing values, or outliers can lead to negative business outcomes, with organizations incurring significant costs due to poor data quality. Consequently, data quality tools have emerged to mitigate these risks. When data quality meets the required standard, data consumers can trust the data, enabling them to make informed decisions and develop or optimize business strategies effectively. Conversely, when data quality falls short, these tools help diagnose underlying issues, facilitating prompt remediation. With the increasing integration of artificial intelligence (AI) and automation technologies into workflows, high-quality data becomes indispensable for their effective adoption. Ensuring data quality is crucial for accurate results, as the adage ""garbage in, garbage out"" holds true even for machine learning algorithms, emphasizing the importance of reliable data for optimal business outcomes.",,,https://www.ibm.com/topics/data-quality
Data Curation,Information Viewpoint,Process,Data and Information Management,"Data curation is the phase in the research infrastructure where persistent datasets generated within the system are stored, managed, and made accessible. This phase ensures quality control and preservation of scientific data, typically through dedicated data centers. It involves handling raw data products, metadata, and processed data, with an emphasis on reproducibility. Operations such as data quality verification, identification, annotation, cataloging, replication, and archival are conducted. Access to curated data from external sources is facilitated through independent data access mechanisms, while meeting non-functional requirements such as availability, reliability, security, and scalability.",,, http://envri.eu/rm
Data Publishing,Information Viewpoint,Process,Data and Information Management,"Data publishing is the phase in the research infrastructure that facilitates the discovery and retrieval of scientific data by both internal and external parties. This phase builds upon the data curation process, making data housed in managed data resources accessible. Data publishing typically involves providing mechanisms for presenting or delivering data products, often through query and search tools that allow users to discover data based on metadata or semantic linkages. The data handled during publishing may be heterogeneous, requiring conversion into uniform representations with uniform semantics through a data discovery service. Services for harvesting, compressing, packaging data and metadata, as well as encoding services for secure transfer, may be provided. Control mechanisms such as rights management, authentication, and authorization policies are implemented to govern data publishing activities.",,, http://envri.eu/rm
Data Processing,Information Viewpoint,Process,Data and Information Management,"In the data processing phase the research infrastructure provides a toolbox of services for performing a variety of data processing tasks. The scope of data processing is very wide. The data processing phase enables the aggregation of data from various sources, as well as conduct of experiments and analyses upon that data. During this phase data tends to be manipulated, leading to both/either derived and/or recombined data. To support data processing, a research infrastructure is likely to offer service operations for statistical analysis and data mining, as well as facilities for carrying out scientific experiments, modelling and simulation, and visualisation. Performance requirements for processing scientific data during this phase tend to be concerned with scalability, which can be addressed at the level of engineering and technical solutions to be considered (e.g., by making use of Cloud computing services). The data products generated during processing may themselves be curated and preserver within the RI.",,, http://envri.eu/rm
